"id","Item URI","Dublin Core:Title","Dublin Core:Creator","Dublin Core:Date","Dublin Core:Identifier","xml_link","collection"
"BUCA_Bastaire_Roman_Aventures_C95440","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73437","Seul parmi les gorilles","Simenon, Georges (1903-1989)",1937,"BUCA_Bastaire_Roman_Aventures_C95440","BUCA_Bastaire_Roman_Aventures_C95440.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95441","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73436","Le captif de Santa-Cruz","Moulins, Maurice de (1898-1967)",1937,"BUCA_Bastaire_Roman_Aventures_C95441","BUCA_Bastaire_Roman_Aventures_C95441.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95411","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73435","Le peuple des torrents","Cobb , Willie",1936,"BUCA_Bastaire_Roman_Aventures_C95411","BUCA_Bastaire_Roman_Aventures_C95411.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95412","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73434","Le secret de l'épave","Tossel, Paul (1911-1980)",1936,"BUCA_Bastaire_Roman_Aventures_C95412","BUCA_Bastaire_Roman_Aventures_C95412.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95410","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73433","L' araignée d'argent","Limat , Maurice (1914-2002)",1936,"BUCA_Bastaire_Roman_Aventures_C95410","BUCA_Bastaire_Roman_Aventures_C95410.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95437","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73432","Le dragon vert","Limat , Maurice (1914-2002)",1937,"BUCA_Bastaire_Roman_Aventures_C95437","BUCA_Bastaire_Roman_Aventures_C95437.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95436","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73431","La cité du mystère","Normand, Jean (1885-1956)",1937,"BUCA_Bastaire_Roman_Aventures_C95436","BUCA_Bastaire_Roman_Aventures_C95436.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95432","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73430","La vengeance du griot","Moulins, Maurice de (1898-1967)",1937,"BUCA_Bastaire_Roman_Aventures_C95432","BUCA_Bastaire_Roman_Aventures_C95432.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95429","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73429","Le secret de Tokita","Michel, André (18..-19..)",1937,"BUCA_Bastaire_Roman_Aventures_C95429","BUCA_Bastaire_Roman_Aventures_C95429.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95413","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73428","A travers la savane","Lionel, Maurice (1914-2002)",1937,"BUCA_Bastaire_Roman_Aventures_C95413","BUCA_Bastaire_Roman_Aventures_C95413.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95415","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73427","Les orphelins de la savane","Dazergues, Max-André (1903-1963)",1937,"BUCA_Bastaire_Roman_Aventures_C95415","BUCA_Bastaire_Roman_Aventures_C95415.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95420","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73426","L' idole aux yeux d'émeraude","Duchesne, René (1891-1964)",1932,"BUCA_Bastaire_Roman_Aventures_C95420","BUCA_Bastaire_Roman_Aventures_C95420.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95419","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73425","Le défilé des aigles","Limat , Maurice (1914-2002)",1932,"BUCA_Bastaire_Roman_Aventures_C95419","BUCA_Bastaire_Roman_Aventures_C95419.xml","Le petit roman d'aventures"
